id	english_technical_name	arabic_technical_name	arabic_layperson_synonym	arabic_definition
HP:0008775	Abnormal prostate morphology	تشوه شكل البروستاتا	تشوه البروستاتا	تشوه في البروستاتا.
HP:0008776	Abnormal renal artery morphology	تشوه شكل الشريان الكلوي	تشوه شريان الكلى	أيّ تشوه هيكلي في الشريان الكلوي.
HP:0008777	Abnormal vocal cord morphology	تشوه شكل الحبال الصوتية	تشوه الحبال الصوتية	تشوه في الحبال الصوتية.
HP:0008780	Congenital bilateral hip dislocation	خلع خلقي مزدوج لمفصل الورك	خلع خلقي مزدوج للورك	خلع خلقي في مفصل الورك على الجانبين.
HP:0008783	Wide proximal femoral metaphysis	اتساع المشاشة القريبة للفخذ	اتساع الجزء العلوي من عظم الفخذ	زيادة في عرض الجزء القريب من جسم عظمة الفخذ (المشاشة).
HP:0008784	Wide capital femoral epiphyses	اتساع المشاشة الرأسمية للفخذ	اتساع نهاية عظم الفخذ العلوية	تشوه عريض بشكل غير طبيعي في المشاشة القريبة من عظم الفخذ.
HP:0008785	Delayed ossification of pubic rami	تأخر التعظم في فروع العانة	تأخر تصلب عظم العانة	تأخر في نضوج وتكلس الفروع (الفروع) في عظم العانة.
HP:0008786	Iliac crest serration	تعرجات قمة الحرقفة	مظهر متعرج لقمة الحرقفة	عدم انتظام في قمة الحرقفة ينتج عنه شكل محيط يشبه الدانتيل.
HP:0008788	Delayed pubic bone ossification	تأخر التعظم في عظم العانة	تأخر تكلس عظم العانة	تأخر في نضوج وتكلس عظم العانة.
HP:0008789	Cone-shaped capital femoral epiphysis	مشاشة رأس الفخذ ذات شكل مخروطي	نهاية الفخذ بشكل مخروطي	تشوه على شكل مخروط في المشاشة القريبة من عظم الفخذ.
HP:0008762	Repetitive compulsive behavior	سلوك قهري متكرر	سلوك قهري متكرر	يشير إلى السلوك القهري الذي يتكرر بصورة متكررة.
HP:0008763	No social interaction	عدم التفاعل الاجتماعي	عدم التفاعل الاجتماعي	عدم المشاركة المتعمدة في التفاعلات مع الآخرين.
HP:0008765	Auditory hallucination	هلوسة سمعية	سماع أصوات غير موجودة	إدراك الأصوات دون وجود محفز سمعي.
HP:0008767	Self-mutilation of tongue and lips due to involuntary movements	تشويه ذاتي للسان والشفاه بسبب حركات غير إرادية	إصابة اللسان والشفاه بسبب حركات غير إرادية	تؤدي الحركات غير المسيطر عليها إلى تلف الأنسجة في اللسان والشفاه.
HP:0008768	Abnormal sexual behavior	سلوك جنسي غير طبيعي	سلوك جنسي غير لائق	انحراف السلوكيات الجنسية عن المعايير الشخصية للفرد في سياق الأنماط الإجتماعية والثقافية المعترف بها للسلوكيات الجنسية البشرية.
HP:0008770	Obsessive-compulsive trait	سمة الوسواس القهري	صفات الوسواس القهري	وجود واحدة أو أكثر من سمات الشخصية الوسواسية القهرية. تشير الوساوس إلى الأفكار المزعجة التي تتكرر، بينما تشير السلوكيات القهرية إلى سلوكيات متطفلة، حيث يختبرها الشخص المتأثر بأنها لا إرادية أو عبثية أو منفرة.
HP:0008771	Aplasia/Hypoplasia of the ear	عدم/نقص تنسج الأذن	أذن غائبة أو صغيرة	وجود عدم تنسج أو نقص تنسج تطوري في الأذن.
HP:0008772	Aplasia/Hypoplasia of the external ear	عدم/نقص تنسج الأذن الخارجية	أذن خارجية غائبة أو غير مكتملة التطور	وجود عدم تنسج أو نقص تنسج تطوري لكل أو جزء من الأذن الخارجية.
HP:0008773	Aplasia/Hypoplasia of the middle ear	عدم/نقص تنسج الأذن الوسطى	أذن وسطى غائبة أو صغيرة	عدم تنسج أو نقص تنسج تطوري لكل الأذن الوسطى أو جزء منها.
HP:0008774	Aplasia/Hypoplasia of the inner ear	عدم/نقص تنسج الأذن الداخلية	أذن داخلية غائبة أو صغيرة	عدم تنسج أو نقص تنسج تطوري للأذن الداخلية.
HP:0008749	Laryngeal hypoplasia	نقص تنسج الحنجرة	عدم اكتمال نمو الحنجرة	تقليل أو عدم اكتمال في تطوير الحنجرة.
HP:0008750	Laryngeal atresia	انسداد الحنجرة	عدم وجود فتحة في الحنجرة عند الولادة	الغياب الخلقي للتجويف في الحنجرة. انسداد الحنجرة هو حالة نادرة. إذا فشلت فتحة الحنجرة في التطور، فإن السوائل التي تفرزها الرئتين لا يمكن طردها. في الجنين الذي يعاني من انسداد الحنجرة، تكون الرئتان إما طبيعية أو مفرطة التنسج، وليست ناقصة التنسج. يذكر أن نسبة الوفيات هي 100%. عند الفحص بالموجات فوق الصوتية للأم، تُظهر صور الرقبة لدى الجنين توسعاً في القصبة الهوائية المملوءة بسوائل محبوسة. تُظهر مناظر الصدر لدى الجنين رئتين متضخمتين وذات صدى شديد، مع قصبات هوائية متوسعة ومملوءة بالسوائل. غالبًا ما يكون الحبن الجنيني موجودًا.
HP:0008751	Laryngeal cleft	شق الحنجرة	وجود فجوة في الحنجرة	وجود فجوة في الجدار الخلفي الحنجري الرغامي بحيث تواصل ما بين الحنجرة والمريء.
HP:0008752	Laryngeal cartilage malformation	تشوه غضاريف الحنجرة	خلل في تشكيل غضاريف الحنجرة	تشوه في غضاريف الحنجرة.
HP:0008753	Aplasia of the epiglottis	غَيْبَةُ لسان المزمار	عدم وجود لسان المزمار	غياب لسان المزمار.
HP:0008754	Laryngeal calcification	تكلس الحنجرة	ترسبات كلسية في الحنجرة	تكلس (ترسبات غير طبيعية للكالسيوم) في أنسجة الحنجرة.
